Km,Vmax,activity,X,IR,pot2,ph,temp,dstr,lgCmin,lgCmax,Cmin,Cmax,lgCconst,Cconst,lgCcat,Ccat,lgvolume,MolWt,PEOE_VSA7,PEOE_VSA9,VSA_EState8,Kappa2,BalabanJ,MinAbsEStateIndex,MinEStateIndex,EState_VSA6,VSA_EState4,PEOE_VSA8,MinPartialCharge,EState_VSA4,SMR_VSA7,Complexity1,TPSA1,TPSA2,TPSA,XLogP,MaxEStateIndex.1,MaxEStateIndex.2,MinPartialCharge.1,MaxPartialCharge.1,BCUT2D_CHGLO,id
0.0579,0.0009,1.0,,,,7.4,30.0,,-2.0,0.0,0.01,1.0,-1.3010299956639813,0.05,,,,,,,,,,,,,,,,,,,40.5,102.0,,,6.0,9.886400318572106,-0.254557430614467,-0.254557430614467,,10087
0.4348,0.00728,1.0,,,,7.4,30.0,,-2.0,0.0,0.01,1.0,-1.3010299956639813,0.05,,,,,,,,,,,,,,,,,,,40.5,102.0,,,6.0,9.886400318572106,-0.254557430614467,-0.254557430614467,,10088
0.0444,0.003205,1.0,2.922857142857143,1.0942857142857143,-0.07142857142857142,7.4,25.0,,-inf,-0.3979400086720376,0.0,0.4,0.3010299956639812,2.0,-1.6989700043360187,0.02,,,,,,,,,,,,,,,,,40.5,160.0,,,6.0,11.50371351935836,-0.254557430614467,-0.254557430614467,,10089
0.0573,0.003885,1.0,2.922857142857143,1.0942857142857143,-0.07142857142857142,7.4,25.0,,-inf,-0.3979400086720376,0.0,0.4,0.3010299956639812,2.0,-1.6989700043360187,0.02,,,,,,,,,,,,,,,,,40.5,160.0,,,6.0,11.50371351935836,-0.254557430614467,-0.254557430614467,,10090
0.0925,0.0056683333333333,1.0,2.922857142857143,1.0942857142857143,-0.07142857142857142,7.4,25.0,,-inf,-0.3979400086720376,0.0,0.4,0.3010299956639812,2.0,-1.6989700043360187,0.02,,,,,,,,,,,,,,,,,40.5,160.0,,,6.0,11.50371351935836,-0.254557430614467,-0.254557430614467,,10091
0.1437,0.007645,1.0,2.922857142857143,1.0942857142857143,-0.07142857142857142,7.4,25.0,3.0,-inf,-0.3979400086720376,0.0,0.4,0.3010299956639812,2.0,-1.6989700043360187,0.02,7.575134421110536,,,,,,,,,,,,,,,,40.5,160.0,,,6.0,11.50371351935836,-0.254557430614467,-0.254557430614467,,10092
1.28,0.004655,1.0,2.922857142857143,1.0942857142857143,-0.07142857142857142,7.4,25.0,,-inf,0.7781512503836436,0.0,6.0,-0.6989700043360187,0.2,-1.6989700043360187,0.02,,,,,,,,,,,,,,,,389.0,160.0,40.5,,,11.50371351935836,6.0,-0.48008628646213053,0.32247070702770475,,10093
3.4250000000000003,0.0077883333333333,1.0,2.922857142857143,1.0942857142857143,-0.07142857142857142,7.4,25.0,,-inf,0.7781512503836436,0.0,6.0,-0.6989700043360187,0.2,-1.6989700043360187,0.02,,,,,,,,,,,,,,,,389.0,160.0,40.5,,,11.50371351935836,6.0,-0.48008628646213053,0.32247070702770475,,10094
1.671,0.007215,1.0,2.922857142857143,1.0942857142857143,-0.07142857142857142,7.4,25.0,,-inf,0.7781512503836436,0.0,6.0,-0.6989700043360187,0.2,-1.6989700043360187,0.02,,,,,,,,,,,,,,,,389.0,160.0,40.5,,,11.50371351935836,6.0,-0.48008628646213053,0.32247070702770475,,10095
1.958,0.01004,1.0,2.922857142857143,1.0942857142857143,-0.07142857142857142,7.4,25.0,3.0,-inf,0.7781512503836436,0.0,6.0,-0.6989700043360187,0.2,-1.6989700043360187,0.02,7.575134421110536,,,,,,,,,,,,,,,389.0,160.0,40.5,,,11.50371351935836,6.0,-0.48008628646213053,0.32247070702770475,,10096
