Km,Vmax,activity,X,IR,pot2,ph,temp,dstr,lgCmin,lgCmax,Cmin,Cmax,lgCconst,Cconst,lgCcat,Ccat,lgvolume,MolWt,PEOE_VSA7,PEOE_VSA9,VSA_EState8,Kappa2,BalabanJ,MinAbsEStateIndex,MinEStateIndex,EState_VSA6,VSA_EState4,PEOE_VSA8,MinPartialCharge,EState_VSA4,SMR_VSA7,Complexity1,TPSA1,TPSA2,TPSA,XLogP,MaxEStateIndex.1,MaxEStateIndex.2,MinPartialCharge.1,MaxPartialCharge.1,BCUT2D_CHGLO,id
0.2,,peroxidase,2.54,1.51,0.0,3.6,25.0,3.0,,,,,2.571708831808688,373.0,-1.3205721033878821,0.0477999999999999,3.438384107034714,,,,,,,,,,,,,,,226.0,52.0,40.5,,,5.992738620139414,6.0,-0.39829862998965665,0.03733732813242442,,10066
572.0,,peroxidase,2.54,1.51,0.0,3.6,25.0,3.0,,,,,,,-1.3205721033878821,0.0477999999999999,3.438384107034714,,,,,,,,,,,,,,,,40.5,52.0,,,6.0,5.992738620139414,-0.254557430614467,-0.254557430614467,,10067
92.3,,peroxidase,2.54,1.51,0.0,3.6,25.0,3.0,,,,,,,-1.3205721033878821,0.0477999999999999,3.438384107034714,,,,,,,,,,,,,,,910.0,209.0,40.5,,,11.447015664231106,6.0,-0.34392573610777344,0.29406472784425514,,10068
546.0,,peroxidase,2.54,1.51,0.0,3.6,25.0,3.0,,,,,,,-1.3205721033878821,0.0477999999999999,3.438384107034714,,,,,,,,,,,,,,,,40.5,209.0,,,6.0,11.447015664231106,-0.254557430614467,-0.254557430614467,,10069
0.048,0.0003,peroxidase,2.2,0.73,0.0,4.0,25.0,3.0,,,,,3.3010299956639813,2000.0,,,3.849903686110649,111.14399999999999,12.620776512746458,0.0,4.36162037037037,1.9872284056064253,2.53668197930634,0.20833333333333348,0.20833333333333348,11.099864620670926,0.0,12.965578028838586,-0.3196712290418209,12.965578028838586,12.778890573418945,226.0,52.0,40.5,20.3,0.4,5.992738620139414,6.0,-0.39829862998965665,0.03733732813242442,-2.048432760843659,10070
0.095,0.00052,peroxidase,2.2,0.73,0.0,4.0,25.0,3.0,,,,,3.3010299956639813,2000.0,,,3.870103834087554,111.14399999999999,12.620776512746458,0.0,4.36162037037037,1.9872284056064253,2.53668197930634,0.20833333333333348,0.20833333333333348,11.099864620670926,0.0,12.965578028838586,-0.3196712290418209,12.965578028838586,12.778890573418945,226.0,52.0,40.5,20.3,0.4,5.992738620139414,6.0,-0.39829862998965665,0.03733732813242442,-2.048432760843659,10071
1.335,0.000421,peroxidase,2.636,,0.068,4.5,25.0,3.0,-7.0,-4.0,1e-07,0.0001,-0.27572413039921095,0.53,,,6.653212513775344,111.14399999999999,12.620776512746458,0.0,4.36162037037037,1.9872284056064253,2.53668197930634,0.20833333333333348,0.20833333333333348,11.099864620670926,0.0,12.965578028838586,-0.3196712290418209,12.965578028838586,12.778890573418945,226.0,52.0,40.5,20.3,0.4,5.992738620139414,6.0,-0.39829862998965665,0.03733732813242442,-2.048432760843659,10072
0.379,0.000391,peroxidase,2.636,,0.068,4.5,25.0,3.0,-7.0,-4.0,1e-07,0.0001,-0.09691001300805639,0.8,,,6.653212513775344,111.14399999999999,12.620776512746458,0.0,4.36162037037037,1.9872284056064253,2.53668197930634,0.20833333333333348,0.20833333333333348,11.099864620670926,0.0,12.965578028838586,-0.3196712290418209,12.965578028838586,12.778890573418945,,40.5,52.0,20.3,0.4,6.0,5.992738620139414,-0.254557430614467,-0.254557430614467,-2.048432760843659,10073
0.05,1e-05,peroxidase,2.235,1.4,0.0,4.5,25.0,3.0,-1.3010299956639813,-0.3010299956639812,0.05,0.5,1.6989700043360187,50.0,-3.0,0.001,5.334453751150931,111.14399999999999,12.620776512746458,0.0,4.36162037037037,1.9872284056064253,2.53668197930634,0.20833333333333348,0.20833333333333348,11.099864620670926,0.0,12.965578028838586,-0.3196712290418209,12.965578028838586,12.778890573418945,,40.5,52.0,20.3,0.4,6.0,5.992738620139414,-0.254557430614467,-0.254557430614467,-2.048432760843659,10074
0.05,1e-05,peroxidase,2.235,1.4,0.0,4.5,25.0,3.0,-1.3010299956639813,-0.3010299956639812,0.05,0.5,1.6989700043360187,50.0,-3.0,0.001,5.334453751150931,111.14399999999999,12.620776512746458,0.0,4.36162037037037,1.9872284056064253,2.53668197930634,0.20833333333333348,0.20833333333333348,11.099864620670926,0.0,12.965578028838586,-0.3196712290418209,12.965578028838586,12.778890573418945,226.0,52.0,40.5,20.3,0.4,5.992738620139414,6.0,-0.39829862998965665,0.03733732813242442,-2.048432760843659,10075
,,oxidase,2.81,1.1016666666666668,0.016333333333333335,4.5,25.0,3.0,,,,,,,,,6.5959712608632675,,,,,,,,,,,,,,,226.0,52.0,,,,5.992738620139414,,-0.39829862998965665,0.03733732813242442,,10076
,,peroxidase,2.75,1.1142857142857143,-0.015428571428571427,,,3.0,,,,,,,,,3.9030899869919438,,,,,,,,,,,,,,,,,,,,,,,,,10077
